id,route_name,route_link,busname,bustype,departing_time,duration,reaching_time,star_rating,price,seats_available
1,"Bangalore to Kozhikode",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,"KSRTC (Kerala) - 581","Super Express Non AC Seater Air Bus (2+2)","2024-09-01 10:03:00",N/A,"2024-09-01 18:30:00",4,469.00,3
2,"Bangalore to Kozhikode",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,"KSRTC (Kerala) - 52","SWIFT-GARUDA A/C SEATER BUS","2024-09-01 12:01:00",N/A,"2024-09-01 19:55:00",3.8,627.00,12
3,"Bangalore to Kozhikode",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,"KSRTC (Kerala) - 1210","SWIFT-HYBRID NON AC SEATER CUM SLEEPER","2024-09-01 12:55:00",N/A,"2024-09-01 21:15:00",3.8,567.00,29
4,"Bangalore to Kozhikode",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,"KSRTC (Kerala) - 129","SWIFT-GARUDA A/C SEATER BUS","2024-09-01 14:15:00",N/A,"2024-09-01 22:50:00",4.3,627.00,26
5,"Bangalore to Kozhikode",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,"KSRTC (Kerala) - 235","Swift Deluxe Non AC Air Bus (2+2)","2024-09-01 15:00:00",N/A,"2024-09-02 00:01:00",4.7,620.00,33
6,"Bangalore to Kozhikode",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,"KSRTC (Kerala) - 370","AC MULTI AXLE","2024-09-01 15:25:00",N/A,"2024-09-01 22:20:00",3.1,729.00,37
7,"Bangalore to Kozhikode",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,"KSRTC (Kerala) - 97","Swift Deluxe Non AC Air Bus (2+2)","2024-09-01 16:02:00",N/A,"2024-09-02 00:50:00",2.8,567.00,36
8,"Bangalore to Kozhikode",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,"KSRTC (Kerala) - 171","Swift Deluxe Non AC Air Bus (2+2)","2024-09-01 16:16:00",N/A,"2024-09-02 01:20:00",3.3,640.00,35
9,"Bangalore to Kozhikode",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,"KSRTC (Kerala) - 553","Super Express Non AC Seater Air Bus (2+2)","2024-09-01 16:45:00",N/A,"2024-09-02 01:25:00",3.7,640.00,22
10,"Bangalore to Kozhikode",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,"KSRTC (Kerala) - 51","Swift Deluxe Non AC Air Bus (2+2)","2024-09-01 19:04:00",N/A,"2024-09-02 04:24:00",4.4,640.00,33
11,"Bangalore to Kozhikode",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,"KSRTC (Kerala) - 789","Super Fast Non AC Seater (2+3)","2024-09-01 20:00:00",N/A,"2024-09-02 04:25:00",3.5,473.00,42
12,"Bangalore to Kozhikode",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,"KSRTC (Kerala) - 1585","Super Express Non AC Seater Air Bus (2+2)","2024-09-01 20:31:00",N/A,"2024-09-02 05:36:00",3.9,640.00,31
13,"Bangalore to Kozhikode",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,"KSRTC (Kerala) - 1586","Super Express Non AC Seater Air Bus (2+2)","2024-09-01 21:31:00",N/A,"2024-09-02 06:36:00",3.4,640.00,31
14,"Bangalore to Kozhikode",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,"KSRTC (Kerala) - 2133","Swift Deluxe Non AC Air Bus (2+2)","2024-09-01 22:12:00",N/A,"2024-09-02 07:36:00",4.3,640.00,34
15,"Bangalore to Kozhikode",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,"KSRTC (Kerala) - 2063","SWIFT-GARUDA A/C SEATER BUS","2024-09-01 22:32:00",N/A,"2024-09-02 07:35:00",3.3,627.00,22
16,"Bangalore to Kozhikode",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,"KSRTC (Kerala) - 574","Super Express Non AC Seater Air Bus (2+2)","2024-09-01 23:00:00",N/A,"2024-09-02 09:30:00",3,469.00,31
17,"Bangalore to Kozhikode",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,"KSRTC (Kerala) - 583","Super Express Non AC Seater Air Bus (2+2)","2024-09-01 23:30:00",N/A,"2024-09-02 09:35:00",3.4,469.00,33
18,"Bangalore to Kozhikode",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,"KSRTC (Kerala) - 56","SWIFT-GARUDA A/C SEATER BUS","2024-09-01 23:41:00",N/A,"2024-09-02 09:05:00",3.8,627.00,25
19,"Bangalore to Kozhikode",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,"MMK Travels","VE A/C Seater / Sleeper (2+1)","2024-09-01 22:30:00",N/A,"2024-09-02 07:30:00",4.4,750.00,22
20,"Bangalore to Kozhikode",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,"SAAM BUS","VE A/C Sleeper (2+1)","2024-09-01 20:10:00",N/A,"2024-09-02 06:45:00",4.5,850.00,21
21,"Bangalore to Kozhikode",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,"Silver Line Travels","NON A/C Semi Sleeper (2+2)","2024-09-01 22:00:00",N/A,"2024-09-02 06:10:00",4.4,699.00,40
22,"Bangalore to Kozhikode",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,"Kyros Connect","Bharat Benz A/C Semi Sleeper (2+2)","2024-09-01 23:00:00",N/A,"2024-09-02 09:00:00",4.2,599.00,39
23,"Bangalore to Kozhikode",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,"DLT BUS","A/C Sleeper (2+1)","2024-09-01 22:30:00",N/A,"2024-09-02 07:30:00",4.1,999.00,19
